Sloan Digital Sky Survey filter set for DIAFI,,,,,
,,,,,
Lambda,u',g',r',I',z'
905.0,0.006442,0.003286,0.004226,0.003589,95.791054
904.5,0.006060,0.003806,0.003630,0.004431,95.792786
904.0,0.006653,0.003558,0.004679,0.004251,95.798180
903.5,0.006080,0.003295,0.004323,0.004791,95.798721
903.0,0.006246,0.003478,0.004570,0.004217,95.800690
902.5,0.006123,0.003705,0.004053,0.004278,95.802406
902.0,0.005924,0.003096,0.004361,0.003734,95.806854
901.5,0.006140,0.003061,0.004016,0.004530,95.804749
901.0,0.006072,0.002755,0.004468,0.004468,95.808487
900.5,0.006075,0.002894,0.004313,0.004312,95.810959
900.0,0.006438,0.003418,0.004743,0.004414,95.814529
899.5,0.001387,-0.000925,0.004805,0.001269,95.812241
899.0,0.003196,0.000407,0.004297,0.001755,95.881142
898.5,0.003335,0.000138,0.005182,0.001815,95.914375
898.0,0.003572,0.000618,0.004957,0.002447,95.802917
897.5,0.003498,0.000240,0.004953,0.002476,95.955505
897.0,0.003627,0.000352,0.004893,0.002250,95.917725
896.5,0.003546,0.000015,0.004547,0.002105,95.849739
896.0,0.003802,0.000657,0.004569,0.002887,95.780663
895.5,0.003252,0.000697,0.004636,0.002481,95.773575
895.0,0.003707,-0.000119,0.005036,0.002559,95.839760
894.5,0.003793,0.000438,0.004845,0.002437,95.820313
894.0,0.003931,0.000535,0.005271,0.002505,95.833534
893.5,0.003893,0.000503,0.005393,0.002926,95.894058
893.0,0.004016,0.000225,0.004973,0.002777,95.746338
892.5,0.004197,0.000165,0.005786,0.003119,95.918808
892.0,0.003484,0.000166,0.005421,0.003664,95.922455
891.5,0.003747,0.000040,0.005859,0.003579,95.879646
891.0,0.004315,0.000286,0.005545,0.003380,95.864998
890.5,0.004351,0.000415,0.005859,0.003331,95.878952
890.0,0.004068,0.000364,0.006264,0.003140,95.798615
889.5,0.005070,0.000678,0.006294,0.004455,95.884422
889.0,0.004624,0.000091,0.005935,0.003631,95.807358
888.5,0.004412,0.000140,0.006325,0.004493,95.913109
888.0,0.004765,0.000473,0.006988,0.004173,95.876030
887.5,0.005114,0.000216,0.006754,0.004393,95.812401
887.0,0.005386,0.000625,0.006656,0.005086,95.913055
886.5,0.005716,0.000345,0.007288,0.004873,95.887512
886.0,0.006101,0.000395,0.007070,0.004671,95.913033
885.5,0.005647,0.000230,0.007337,0.004652,95.834511
885.0,0.005493,0.000228,0.007265,0.005220,95.901550
884.5,0.006712,0.000324,0.007700,0.005800,95.785049
884.0,0.006809,0.000169,0.008681,0.005681,95.840279
883.5,0.006897,0.000367,0.008137,0.006648,95.804962
883.0,0.006865,0.000104,0.008287,0.006474,95.856705
882.5,0.006948,0.000348,0.008515,0.007016,95.838310
882.0,0.007358,0.000227,0.009006,0.006945,95.871010
881.5,0.007568,0.000048,0.009189,0.007215,95.763229
881.0,0.008727,0.000276,0.009908,0.008115,95.742439
880.5,0.008656,0.000260,0.009376,0.008397,95.690941
880.0,0.009045,0.000287,0.009711,0.009002,95.658653
879.5,0.008958,0.000366,0.009787,0.009380,95.735809
879.0,0.009488,0.000456,0.010427,0.009865,95.694145
878.5,0.010098,0.000106,0.010591,0.010422,95.592979
878.0,0.010084,0.000160,0.010392,0.010996,95.567566
877.5,0.010042,0.000355,0.010293,0.011626,95.630234
877.0,0.010662,0.000074,0.010686,0.012130,95.610748
876.5,0.011066,0.000382,0.010625,0.013235,95.570374
876.0,0.011288,0.000159,0.010712,0.013942,95.532913
875.5,0.011711,0.000371,0.011619,0.014574,95.553833
875.0,0.011787,0.000211,0.010277,0.015691,95.498909
874.5,0.012039,0.000355,0.010372,0.016326,95.458809
874.0,0.012146,0.000078,0.010964,0.017723,95.457886
873.5,0.012340,0.000056,0.010622,0.018969,95.404816
873.0,0.012625,0.000241,0.010935,0.020140,95.455963
872.5,0.012275,0.000191,0.009732,0.021234,95.426559
872.0,0.012742,0.000180,0.010330,0.022863,95.407059
871.5,0.011986,0.000094,0.009714,0.024107,95.393921
871.0,0.012455,0.000141,0.010214,0.025701,95.396301
870.5,0.012011,0.000095,0.009817,0.027165,95.374901
870.0,0.011735,0.000164,0.010072,0.029637,95.392639
869.5,0.011893,0.000129,0.009206,0.031472,95.423950
869.0,0.011582,0.000203,0.009353,0.033293,95.392525
868.5,0.011156,0.000261,0.009772,0.036764,95.367050
868.0,0.010891,0.000120,0.009207,0.039366,95.372696
867.5,0.010812,0.000235,0.009358,0.042338,95.405670
